Nimeke;ISSN/NBN;Digitoitu (avoin käyttö);Digitoitu (rajattu käyttö);Ilmestynyt vuosina;Digitointi-%;Niteitä;Sivuja;URL;Puoluekanta;Puoluekanta2 (alkupvm-loppupvm jos tiedossa?);Kommentti;Kommentti_5;Tietolähteiden värikoodit;Puoluekanta_SV;Puoluekanta_en;Kommentti_sv;Kommentti_en
Etelä-Savo;fk10046;1917 - 1929;1930 - 1939;1917 - 1945;"79;31 %";3389;14788;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10046;kansanpuoluelainen;1917 - 8.12.1918;;;1;folkparti;people's party;;
Etelä-Savo;fk10046;1917 - 1929;1930 - 1939;1917 - 1945;"79;31 %";3389;14788;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10046;kokoomuslainen;9.12.1918 -;;;1;samlingspartistisk;supporter of the Coalition Party;;
Laatokka;1458-2279;1882 - 1914;;1881 - 1914;"97;06 %";3584;14265;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-2279;suomenmielinen;1881 - 1900;;;1;finsksinnad;Fennoman;;
Laatokka;1458-2279;1882 - 1914;;1881 - 1914;"97;06 %";3584;14265;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-2279;"nuorsuomalainen; perustuslaillinen";1901 - 1914;;;1;"ungfinsk; konstitutionell";"Young Finnish Party; constitutional";;
Karjalan Maa;0357-1378;1918 - 1929;1930 - 1939;1918 - 2011;"23;40 %";3207;13963;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0357-1378;;;;;;;;;
Tampereen Uutiset;1458-8595;1890 - 1905;;1890 - 1905;"100;00 %";3461;13855;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-8595;konservatiivinen;;;;1;konservativ;conservative;;
Tampereen Uutiset;1458-8595;1890 - 1905;;1890 - 1905;"100;00 %";3461;13855;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-8595;perustuslaillinen;1899 - 1905;;;1;konstitutionell;constitutional;;
Tampereen Uutiset;1458-8595;1890 - 1905;;1890 - 1905;"100;00 %";3461;13855;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-8595;nuorsuomalainen;1905;;;1;ungfinsk;Young Finnish Party;;
Hämäläinen;1457-4403;1858 - 1901;;1858 - 1901;"100;00 %";3358;13660;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1457-4403;suomenmielinen;1858 - 1897;;;1;finsksinnad;Fennoman;;
Hämäläinen;1457-4403;1858 - 1901;;1858 - 1901;"100;00 %";3358;13660;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1457-4403;nuorsuomalainen;1898 - 1901;;;1;ungfinsk;Young Finnish Party;;
Hämäläinen;1457-4403;1858 - 1901;;1858 - 1901;"100;00 %";3358;13660;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1457-4403;perustuslaillinen;01.03.1899 - 1901;;;1;konstitutionell;constitutional;;
Kansan Voima;fk10179;1919 - 1929;1930 - 1939;1919 - 1963;"46;67 %";3013;13386;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10179;sosialidemokraattinen;;;;1;socialdemokratisk;socialdemokratic;;
Ajan Suunta;fk10009;;1932 - 1940;1932 - 1944;"69;23 %";2209;13378;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10009;IKL:n äänenkannattaja;;;;1;patriotisk folkrörelse's organ;patriotic mass movement's organ;;
Eteenpäin;0355-8606;1920 - 1929;1930 - 1939;1920 - 1988;"28;99 %";2992;13307;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0355-8606;;;;;;;;;
Uusi Aika;0789-8169;1919 - 1929;"1930 - 1934; 2017 - 2019";1919 - 2019;"18;81 %";2929;13206;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0789-8169;;;;;;;;;
Raahen Seutu;0789-0796;1919 - 1929;"1930 - 1934; 2017 - 2018";1919 - 2019;"17;82 %";2619;12978;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0789-0796;;;;;;;;;
Riihimäen Sanomat;0782-5803;1914 - 1929;1930 - 1934;1914 - 2003;"23;33 %";3190;12976;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0782-5803;;;;;;;;;
Karjalan Ääni;fk10194;1918 - 1929;1930 - 1940;1918 - 1940;"100;00 %";3200;12820;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10194;maalaisliittolainen;1918 - 1940;;;1;agrarpartist;Agrarian party;;
Karjalan Ääni;fk10194;1918 - 1929;1930 - 1940;1918 - 1940;"100;00 %";3200;12820;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10194;nuorsuomalainen;01.01.1918 - 08.12.1918;;;1;ungfinsk;Young Finnish Party;;
Karjalan Ääni;fk10194;1918 - 1929;1930 - 1940;1918 - 1940;"100;00 %";3200;12820;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10194;tasavaltalainen;1918 - 1919;;;1;republikan;republican;;
Karjalan Ääni;fk10194;1918 - 1929;1930 - 1940;1918 - 1940;"100;00 %";3200;12820;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10194;edistyspuoluelainen;09.12.1918 - 11.03.1919;;;1;progress parti;National Progressive Party;;
Perä-Pohjolainen;fk10340;"1897 - 1916; 1918 - 1920";;1897 - 1921;"92;00 %";3214;12789;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10340;nuorsuomalainen;1897 - 8.12.1918;;;1;ungfinsk;Young Finnish Party;;
Perä-Pohjolainen;fk10340;"1897 - 1916; 1918 - 1920";;1897 - 1921;"92;00 %";3214;12789;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10340;perustuslaillinen;1899 - 1917;;;1;konstitutionell;constitutional;;
Perä-Pohjolainen;fk10340;"1897 - 1916; 1918 - 1920";;1897 - 1921;"92;00 %";3214;12789;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10340;kokoomuslainen;09.12.1918 - 30.06.1921;;;1;samlingspartistisk;supporter of the Coalition Party;;
Syd-Österbotten;0789-8363;1903 - 1929;1930 - 1935;1903 - 1980;"42;31 %";3209;12783;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0789-8363;;;;;;;;;
Loviisan Sanomat;0356-1291;1916 - 1929;"1930 - 1934; 2017 - 2019";1916 - 2019;"21;15 %";1866;12314;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0356-1291;;;;;;;;;
Häme;fk10102;1919 - 1929;1930 - 1939;1919 - 1944;"80;77 %";3058;12280;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10102;edistyspuoluelainen;;;;1;progress parti;National Progressive Party;;
Åbo Posten;1458-8765;1873 - 1883;;1873 - 1883;"100;00 %";2596;12101;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-8765;sitoutumaton;1873 - 1879;;;1;obunden;independent;;
Åbo Posten;1458-8765;1873 - 1883;;1873 - 1883;"100;00 %";2596;12101;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-8765;suomenmielinen;1880 - 1883;;;1;finsksinnad;Fennoman;;
Suupohjan Kaiku;fk10495;1897 - 1919;;1897 - 1919;"100;00 %";3025;12038;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10495;suomenmielinen;1897 - 1908;;;1;finsksinnad;Fennoman;;
Suupohjan Kaiku;fk10495;1897 - 1919;;1897 - 1919;"100;00 %";3025;12038;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10495;nuorsuomalainen;1908 - 08.12.1918;;;1;ungfinsk;Young Finnish Party;;
Suupohjan Kaiku;fk10495;1897 - 1919;;1897 - 1919;"100;00 %";3025;12038;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10495;edistyspuoluelainen;09.12.1918 - 1919;;;1;progress parti;National Progressive Party;;
Dagens Press;fk10027;1914 - 1921;;1914 - 1921;"100;00 %";2244;12024;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10027;RKP;1918 - 1921;lähellä RKP:n vasemmistoa;;1;Svenska folkpartiet i Finland;Swedish People's Party;;
Tyrvään Sanomat;0359-0305;1894 - 1929;"1930 - 1934; 2016 - 2019";1894 - 2019;"35;71 %";1906;11869;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0359-0305;;;;;;;;;
Kajaanin Lehti;fk10157;1899 - 1920;;1899 - 1920;"100;00 %";2943;11626;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10157;suomenmielinen;1899 - 1905;;;1;finsksinnad;Fennoman;;
Kajaanin Lehti;fk10157;1899 - 1920;;1899 - 1920;"100;00 %";2943;11626;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10157;"nuorsuomalainen; perustuslaillinen";1906 - 08.12.1918;;;1;"ungfinsk; konstitutionell";"Young Finnish Party; constitutional";;
Kajaanin Lehti;fk10157;1899 - 1920;;1899 - 1920;"100;00 %";2943;11626;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10157;edistyspuoluelainen;09.12.1918 - 1920;;;1;progress parti;National Progressive Party;;
Kajaanin Lehti;fk10157;1899 - 1920;;1899 - 1920;"100;00 %";2943;11626;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10157;tasavaltalainen;1918 - 1919;;;1;republikan;republican;;
Heinolan Sanomat;fk10081;1918 - 1929;1930 - 1939;1918 - 1939;"100;00 %";2749;11045;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10081;edistyspuoluelainen;1918 - 1919;lievästi edistyspuoluelainen;;1;progress parti;National Progressive Party;;
Heinolan Sanomat;fk10081;1918 - 1929;1930 - 1939;1918 - 1939;"100;00 %";2749;11045;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10081;kokoomuslainen;1919;;;1;samlingspartistisk;supporter of the Coalition Party;;
Heinolan Sanomat;fk10081;1918 - 1929;1930 - 1939;1918 - 1939;"100;00 %";2749;11045;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10081;"sitoutumaton; yleisporvarillinen";1919 - 1929;;;1;"obunden; allmän borgerlig";"independent; general conservative";;
Heinolan Sanomat;fk10081;1918 - 1929;1930 - 1939;1918 - 1939;"100;00 %";2749;11045;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10081;lapualaismielinen;1930 - 1932;;;1;lapuan;Lapua region;;
Heinolan Sanomat;fk10081;1918 - 1929;1930 - 1939;1918 - 1939;"100;00 %";2749;11045;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10081;kokoomuslainen;1933 - 1939;monessa suhteessa yleisporvarillinen;;1;samlingspartistisk;supporter of the Coalition Party;;
HS metro;2489-2238;;2016 - 2019;2016 - 2019;"100;00 %";529;11004;https://digi.kansalliskirjasto.fi/sanomalehti/titles/2489-2238;riippumaton;;;;4;obunden;independent;;
Saarijärven Paavo;fk10412;1918 - 1929;1930 - 1932;1917 - 1932;"93;75 %";2786;10872;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10412;maalaisliittolainen;;;;1;agrarpartist;Agrarian party;;
Koillissanomat;0356-4886;;2017 - 2019;1950 - 2019;"4;29 %";529;10794;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0356-4886;;;;;;;;;
Maaseutu;fk10291;1916 - 1929;1930 - 1934;1916 - 1954;"48;72 %";2686;10767;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10291;;;;;;;;;
Itä-Suomen Sanomat;fk10128;1894 - 1913;;1894 - 1914;"95;24 %";2687;10738;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10128;nuorsuomalainen;;;;1;ungfinsk;Young Finnish Party;;
Itä-Suomen Sanomat;fk10128;1894 - 1913;;1894 - 1914;"95;24 %";2687;10738;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10128;perustuslaillinen;1899 -1914;;;1;konstitutionell;constitutional;;
Fredrikshamns Tidning;1458-0721;1884 - 1910;;1884 - 1910;"100;00 %";2667;10675;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-0721;maltillisen ruotsinmielinen;1884 - 1896;;;1;tolerant svekomansk;moderately pro-Swedish;;
Fredrikshamns Tidning;1458-0721;1884 - 1910;;1884 - 1910;"100;00 %";2667;10675;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-0721;Ruotsalaisen puolueen linjalla;1987 - 1910;;;1;Svenska partiet's linje;Swedish party line;;
Fredrikshamns Tidning;1458-0721;1884 - 1910;;1884 - 1910;"100;00 %";2667;10675;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-0721;maltillisen perustuslaillinen;1897 - 1910;;;1;tolerant konstitutionell;moderately constitutional;;
Kansan Tahto;fk10173;1906 - 1914;;1906 - 1914;"100;00 %";2605;10423;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10173;sosialistinen;;;;2;sosialistisk;socialistic;;
Östnyland;2342-7728;;2017 - 2019;2015 - 2019;"60;00 %";249;10408;https://digi.kansalliskirjasto.fi/sanomalehti/titles/2342-7728;;;;;;;;;
Tampereen Sanomat;fk14771;1924 - 1929;1930;1924 - 1930;"100;00 %";1813;10394;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk14771;edistyspuoluelainen;;;;1;progress parti;National Progressive Party;;
Lauttakylä;1238-7045;1913 - 1929;"1930 - 1936; 2016 - 2019";1913 - 2019;"26;17 %";1356;10330;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1238-7045;;;;;;;;;
Kajaani;fk10155;1922 - 1929;1930 - 1939;1922 - 1966;"40;00 %";2530;10229;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10155;;;;;;;;;
Uusi Savo;1458-6576;1891 - 1903;;1891 - 1903;"100;00 %";2516;9880;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-6576;nuorsuomalainen;;;;1;ungfinsk;Young Finnish Party;;
Louhi;1458-2333;1890 - 1906;;1890 - 1906;"100;00 %";2461;9841;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-2333;nuorsuomalainen;;;;1;ungfinsk;Young Finnish Party;;
Louhi;1458-2333;1890 - 1906;;1890 - 1906;"100;00 %";2461;9841;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-2333;perustuslaillinen;1899 - 1906;;;1;konstitutionell;constitutional;;
Oulun Ilmoituslehti;1458-2546;1886 - 1905;;1886 - 1905;"100;00 %";2447;9811;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-2546;riippumaton;;ruotsinmieliset taustavoimat;;1;obunden;independent;;
Oulun Ilmoituslehti;1458-2546;1886 - 1905;;1886 - 1905;"100;00 %";2447;9811;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-2546;maltillisen perustuslaillinen;1899 - 1905;;;1;tolerant konstitutionell;moderately constitutional;;
Kansalainen;fk10165;1896 - 1912;;1896 - 1912;"100;00 %";2459;9800;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10165;nuorsuomalainen;1896 - 1909;;;1;ungfinsk;Young Finnish Party;;
Kansalainen;fk10165;1896 - 1912;;1896 - 1912;"100;00 %";2459;9800;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10165;sitoutumaton;1910 - 1912;;;1;obunden;independent;;
Kansalainen;fk10165;1896 - 1912;;1896 - 1912;"100;00 %";2459;9800;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10165;maltillisen perustuslaillinen;1899 - 1912;;;1;tolerant konstitutionell;moderately constitutional;;
Hämetär;fk10108;1903 - 1919;;1902 - 1919;"94;44 %";2422;9712;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10108;"nuorsuomalainen; perustuslaillinen";1902 - 1918;noudatti alussa varovaista linjaa;;1;"ungfinsk; konstitutionell";"Young Finnish Party; constitutional";;followed cautious policy in the beginning
Hämetär;fk10108;1903 - 1919;;1902 - 1919;"94;44 %";2422;9712;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10108;edistyspuoluelainen;1919;;;1;progress parti;National Progressive Party;;
Heinolainen;fk10078;1922 - 1929;1930 - 1939;1922 - 1941;"90;00 %";2377;9598;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10078;edistyspuoluelainen;;korosti paikallisuuttaan ja uutislehden ominaisuuksiaan;;1;progress parti;National Progressive Party;;
Savonmaa;1458-6649;1919 - 1929;1930 - 1934;1919 - 1969;"31;37 %";2252;9438;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-6649;;;;;;;;;
Loimaan Lehti;0358-9161;1922 - 1929;"1930 - 1936; 2017 - 2019";1922 - 2019;"18;37 %";1116;9418;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0358-9161;;;;;;;;;
Keski-Savo;1458-6630;1903 - 1919;;1903 - 1919;"100;00 %";2346;9376;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-6630;suomenmielinen;1903 - 1905;;;1;finsksinnad;Fennoman;;
Keski-Savo;1458-6630;1903 - 1919;;1903 - 1919;"100;00 %";2346;9376;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-6630;"nuorsuomalainen; perustuslaillinen";1905 - 09.12.1918;;;1;"ungfinsk; konstitutionell";"Young Finnish Party; constitutional";;
Keski-Savo;1458-6630;1903 - 1919;;1903 - 1919;"100;00 %";2346;9376;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-6630;monarkistinen;1918;;;1;monarkistisk;monarchist;;
Keski-Savo;1458-6630;1903 - 1919;;1903 - 1919;"100;00 %";2346;9376;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-6630;kokoomuslainen;10.12.1918 - 30.10.1919;;;1;samlingspartistisk;supporter of the Coalition Party;;
Finland;1458-0632;"1884 - 1892; 1894";;1884 - 1892;"100;00 %";2349;9372;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-0632;suomenmielinen;;;;1;finsksinnad;Fennoman;;
Finland;1458-0632;"1884 - 1892; 1894";;1884 - 1892;"100;00 %";2349;9372;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-0632;jungfennomaaninen;1886 - 1892;;;1;jungfennomanic;jungfennomanic;;
Kansan Työ;fk10177;;1930 - 1935;1921 - 1963;"13;95 %";1414;9318;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10177;;;;;;;;;
Työväenjärjestöjen Tiedonantaja;fk14811;1923 - 1929;1930;1923 - 1930;"100;00 %";1671;9258;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk14811;kommunistinen;;;;1;kommunistisk;communist;;
Wiborgs Tidning;1457-487X;1864 - 1881;;1864 - 1881;"100;00 %";2291;9252;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1457-487X;ei selkeää linjaa;1864 - 1867;;;1;ingen klar policy;no clear policy;;
Wiborgs Tidning;1457-487X;1864 - 1881;;1864 - 1881;"100;00 %";2291;9252;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1457-487X;liberaali;1868 - 1872;;;1;liberal;liberal;;
Wiborgs Tidning;1457-487X;1864 - 1881;;1864 - 1881;"100;00 %";2291;9252;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1457-487X;ruotsinmielinen;1873;;;1;svekomansk;pro-Swedish;;
Wiborgs Tidning;1457-487X;1864 - 1881;;1864 - 1881;"100;00 %";2291;9252;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1457-487X;ei selkeää linjaa;1874 - 1881;;;1;ingen klar policy;no clear policy;;
Vakka-Suomi;fk14846;1908 - 1923;;1908 - 1923;"100;00 %";2264;9160;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk14846;nuorsuomalainen;1908 - 1918;;;1;ungfinsk;Young Finnish Party;;
Vakka-Suomi;fk14846;1908 - 1923;;1908 - 1923;"100;00 %";2264;9160;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk14846;yleiskeskustalainen;1919 - 1923;maalaisliittolaiset omistajat;;1;allmän centerpartistisk;general centrist;agrarpartist ägare;Agrarian party owners
Vakka-Suomi;fk14846;1908 - 1923;;1908 - 1923;"100;00 %";2264;9160;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk14846;tasavaltalainen;1918 -1919;;;1;republikan;republican;;
Kangasalan Sanomat;0782-596X;1918 - 1929;"1930 - 1939; 2017 - 2019";1918 - 2019;"24;51 %";1221;9016;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0782-596X;;;;;;;;;
Svenska Tidningen;fk14753;1917 - 1921;;1917 - 1921;"100;00 %";1561;8884;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk14753;ruotsinmielinen;;;;1;svekomansk;pro-Swedish;;
Svenska Tidningen;fk14753;1917 - 1921;;1917 - 1921;"100;00 %";1561;8884;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk14753;itsenäisyysmielinen;1917;;;1;självständighetriktning;independence oriented;;
Työkansa;fk14797;1906 - 1926;1930 - 1934;1906 - 1936;"83;87 %";2167;8879;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk14797;Suomen kristillisen työväen liiton lehti;;;;1;Finsk kristna arbetarunion tidning;Christian Workers' Union of Finland's newspaper;;
Pargas Kungörelser;0785-3998;1917 - 1929;"1930 - 1936; 2016 - 2019";1917 - 2019;"23;30 %";1187;8776;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0785-3998;;;;;;;;;
Tornion Lehti;fk14784;1905 - 1926;;1903 - 1926;"91;67 %";2183;8740;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk14784;-;;paikallinen;;1;-;-;;
Tornion Lehti;fk14784;1905 - 1926;;1903 - 1926;"91;67 %";2183;8740;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk14784;laimeasti nuorsuomalainen;1905 - 1918;;;1;tolerant ungfinsk;Young Finnish Party (mildly);;
Tornion Lehti;fk14784;1905 - 1926;;1903 - 1926;"91;67 %";2183;8740;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk14784;tasavaltalainen;1918;;;1;republikan;republican;;
Tornion Lehti;fk14784;1905 - 1926;;1903 - 1926;"91;67 %";2183;8740;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk14784;laimeasti edistyspuoluelainen;1919 - ;;;1;progress parti;progressive party;;
Åbo Allmänna Tidning;1457-4799;1810 - 1819;;1810 - 1819;"100;00 %";1538;8481;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1457-4799;-;;virallinen lehti;;1;-;-;;
Tamperelainen;0355-421X;;2016 - 2019;1957 - 2019;"6;35 %";323;8476;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0355-421X;;;;;;;;;
Eteenpäin;fk14940;1905 - 1918;;1905 - 1918;"100;00 %";2085;8413;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk14940;sosialistinen;;;;2;sosialistisk;socialistic;;
Tapio;1458-8609;1861 - 1888;;1861 - 1888;"100;00 %";2073;8379;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-8609;lievästi suomenmielinen;;;;1;lindrig finsksinnad;mildly Fennoman;;
Savo-Karjala;1458-6606;1888 - 1901;;1888 - 1901;"100;00 %";2054;8219;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-6606;suomenmielinen;;vanhasuomalaisten perustama;;1;finsksinnad;Fennoman;;
Savo-Karjala;1458-6606;1888 - 1901;;1888 - 1901;"100;00 %";2054;8219;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-6606;perustuslaillinen;1899 - 1901;;;1;konstitutionell;constitutional;;
Kotkan Sanomat;1458-2252;1882 - 1903;;1882 - 1903;"100;00 %";2118;8202;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-2252;suomenmielinen;;;;1;finsksinnad;Fennoman;;
Kotkan Sanomat;1458-2252;1882 - 1903;;1882 - 1903;"100;00 %";2118;8202;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-2252;perustuslaillinen;;;;1;konstitutionell;constitutional;;
Kokkola;fk14980;;2016 - 2019;1938 - 2019;"4;88 %";173;8184;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk14980;;;;;;;;;
Länsiväylä;0356-2352;;2016 - 2019;1969 - 2019;"7;84 %";269;8136;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0356-2352;;;;;;;;;
Borgå Tidning;1457-4306;1837 - 1858;;1837 - 1858;"100;00 %";2000;8081;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1457-4306;-;;kirkollinen tiedotuslehti;;1;-;-;;
Pohjalainen;1458-2570;1889 - 1901;;1889 - 1901;"100;00 %";1710;8070;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-2570;nuorsuomalainen;;;;1;ungfinsk;Young Finnish Party;;
Pohjalainen;1458-2570;1889 - 1901;;1889 - 1901;"100;00 %";1710;8070;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-2570;perustuslaillinen;;;;1;konstitutionell;constitutional;;
Rovaniemi;fk10409;1921 - 1929;1930 - 1934;1921 - 1955;"40;00 %";1931;8001;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10409;;;;;;;;;
Kaskö Tidning;1235-8355;1914 - 1929;1930 - 1933;1914 - 1964;"39;22 %";1989;7958;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1235-8355;;;;;;;;;
Kunnallislehti;0356-1801;1925 - 1929;"1930 - 1937; 2016 - 2019";1925 - 2019;"17;89 %";901;7952;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0356-1801;;;;;;;;;
Oulun Wiikko-Sanomia;1457-4527;"1829 - 1834; 1836 - 1837; 1840 - 1841; 1852 - 1879";;1829 - 1879;"74;51 %";1963;7859;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1457-4527;-;;"korosti maataloutta; kansanvalistusta ja kielenhuoltoa; 1850-luvulta lähtien myös uutisten välittämistä";;1;-;-;;
Oulun Wiikko-Sanomia;1457-4527;"1829 - 1834; 1836 - 1837; 1840 - 1841; 1852 - 1879";;1829 - 1879;"74;51 %";1963;7859;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1457-4527;suomenmielinen;1876 -;;;1;finsksinnad;Fennoman;;
Nokian Uutiset;0782-5560;;2017 - 2019;1939 - 2019;"3;70 %";369;7840;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0782-5560;;;;;;;;;
Nyland;fk10314;1922 - 1929;1930 - 1934;1922 - 1947;"50;00 %";1748;7840;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10314;RKP;;maaseutu etusijalla;;1;Svenska folkpartiet i Finland;Swedish People's Party;;
Karjalan Heili;0357-1394;;2016 - 2019;1970 - 2019;"8;00 %";335;7820;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0357-1394;;;;;;;;;
Suomenmaa;fk10477;1929;1930 - 1933;1929 - 1933;"100;00 %";1070;7810;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10477;maalaisliittolainen;;;;1;agrarpartist;Agrarian party;;
Forum 24;1458-4042;;2017 - 2019;2001 - 2019;"15;79 %";246;7676;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-4042;;;;;;;;;
Satakunnan Viikko;1457-9561;;2016 - 2019;1999 - 2019;"19;05 %";148;7672;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1457-9561;;;;;;;;;
Veckobladet;fk14868;1892 - 1917;;1892 - 1917;"100;00 %";1905;7665;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk14868;-;;"kristillinen; kansansivistystä korostava";;1;-;-;;
Veckobladet;fk14868;1892 - 1917;;1892 - 1917;"100;00 %";1905;7665;https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk14868;perustuslaillinen;1906 - 1917;;;1;konstitutionell;constitutional;;
